Job Title,Job Location,Company,Estimate Base Salary,Low Estimate,High Estimate,Company Size,Company Type,Company Sector,Company Industry,Company Revenue,Company Rating,Company Friend Reccomendation,Companny Number of Rater,Company Career Opportinities,Compensation and Benefits,Company Culture and Values,Company Senior Management,Company Work Life Balance,State,python_yn,r_yn,sql_yn,java_yn,julia_yn,scala_yn,c_yn,c++_yn,javascript_yn,spark_yn,hadoop_yn,matlab_yn,sas_yn,git_yn,excel_yn,nosql_yn,aws_yn,mongodb_yn,cassandra_yn,hive_yn,bigml_yn,tableau_yn,powerbi_yn,nlp_yn,pytorch_yn,tensorflow_yn,mathematic_yn,statistic_yn
Analyst,Melbourne,ANZ Banking Group,95917,80000,115000,10000+ Employees,Company - Public,Finance,Banking & Lending,Unknown / Non-Applicable,3.7,71.0,354.0,3.9,3.7,4.1,3.7,4.0,Victoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Clinical Research Associate,Mulgrave,Bristol Myers Squibb,96555,79000,118000,10000+ Employees,Company - Public,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,$10+ billion (USD),3.9,76.0,1165.0,3.6,3.9,3.8,3.5,3.7,Victoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Melbourne,ANZ Banking Group,115631,94000,143000,10000+ Employees,Company - Public,Finance,Banking & Lending,Unknown / Non-Applicable,3.9,80.0,2339.0,3.9,3.7,4.1,3.7,4.0,Victoria,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Melbourne,ANZ Banking Group,115631,94000,143000,10000+ Employees,Company - Public,Finance,Banking & Lending,Unknown / Non-Applicable,4.1,85.0,1596.0,3.9,3.7,4.1,3.7,4.0,Victoria,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinical Research Assistant,Melbourne,Alfred Health,62718,62000,63000,5001 to 10000 Employees,Hospital,Healthcare,Healthcare Services & Hospitals,Unknown / Non-Applicable,4.2,93.0,28.0,4.0,3.6,4.1,4.0,4.0,Victoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Software Engineer,Australia,Indeed,212000,173000,251000,5001 to 10000 Employees,Company - Private,Information Technology,Internet & Web Services,$2 to $5 billion (USD),4.4,90.0,1020.0,4.1,4.3,4.5,4.1,4.5,Victoria,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Data Scientist,Melbourne,NAB - National Australia Bank,105936,84000,134000,10000+ Employees,Company - Public,Finance,Banking & Lending,$10+ billion (USD),3.8,80.0,588.0,3.8,3.5,3.8,3.4,3.9,Victoria,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1
QC Analyst,Melbourne,Seqirus A CSL Company,109138,94000,126000,1001 to 5000 Employees,Company - Public,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,Less than $1 million (USD),3.8,72.0,75.0,3.5,3.7,3.7,3.4,3.7,Victoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Melbourne,Telstra,116663,95000,144000,10000+ Employees,Company - Public,Telecommunications,Telecommunications Services,$10+ billion (USD),3.9,79.0,1263.0,3.6,3.8,3.9,3.4,4.2,Victoria,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Graduate Technology Associate,Melbourne,Infosys,67439,53000,86000,5001 to 10000 Employees,Company - Public,Information Technology,Information Technology Support Services,$10+ billion (USD),3.8,79.0,19272.0,3.8,3.0,4.0,3.5,3.7,Victoria,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinical Research Associate,Melbourne,"Medpace, Inc.",67053,59000,76000,1001 to 5000 Employees,Company - Public,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,$100 to $500 million (USD),3.3,61.0,401.0,3.4,2.9,3.2,3.0,3.1,Victoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Customer Relations Manager,Melbourne,Scout Talent North America,61241,59000,64000,51 to 200 Employees,Company - Private,Information Technology,Computer Hardware Development,$10 to $25 million (USD),4.2,87.0,12.0,4.1,4.0,4.4,4.3,4.3,Victoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Mulgrave,Kmart,59785,56000,64000,10000+ Employees,Subsidiary or Business Segment,Retail & Wholesale,General Merchandise & Superstores,$5 to $10 billion (USD),3.5,62.0,1842.0,3.1,2.9,3.3,3.1,3.5,Victoria,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Graduate Research Fellow,Melbourne,CSIRO,89465,87000,92000,5001 to 10000 Employees,Government,Government & Public Administration,National Services & Agencies,$500 million to $1 billion (USD),3.8,68.0,145.0,3.4,3.4,3.5,3.0,4.1,Victoria,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Research Assistant,Melbourne,Murdoch Childrens Research Institute,88625,80000,97000,1001 to 5000 Employees,Non-profit Organisation,Non-profit & NGO,"Civic, Welfare & Social Services",$50 to $100 million (USD),4.2,72.0,0.0,3.9,3.8,4.2,3.5,3.5,Victoria,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical Assistant,Melbourne,Baker Heart and Diabetes Institute,76750,74000,79000,Unknown,Non-profit Organisation,Non-profit & NGO,"Civic, Welfare & Social Services",Unknown / Non-Applicable,4.2,74.0,0.0,3.4,3.6,4.0,3.5,4.0,Victoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Associate Systems Analyst,Melbourne,State Street Corporation,91490,76000,110000,10000+ Employees,Company - Public,Finance,Investment & Asset Management,$10+ billion (USD),3.4,63.0,1337.0,3.3,3.1,3.4,3.1,3.3,Victoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Research Assistant,Melbourne,La Trobe University,79286,77000,82000,1001 to 5000 Employees,College / University,Education,Colleges & Universities,Unknown / Non-Applicable,3.7,56.0,33.0,3.3,3.4,3.4,3.3,3.8,Victoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QC Analyst,Melbourne,Seqirus,109138,94000,126000,1001 to 5000 Employees,Company - Public,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,Less than $1 million (USD),3.8,72.0,75.0,3.5,3.7,3.7,3.4,3.7,Victoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Machine Learning Engineer,Melbourne,Deloitte,80000,80000,80000,10000+ Employees,Company - Private,Finance,Accounting & Tax,$10+ billion (USD),4.0,82.0,10725.0,4.1,3.6,4.0,3.7,3.2,Victoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Melbourne,Openpay Group,104757,93000,118000,201 to 500 Employees,Company - Public,Finance,Banking & Lending,Unknown / Non-Applicable,3.7,71.0,6.0,3.3,3.6,3.6,3.4,3.7,Victoria,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
Music Teacher,Melbourne,Schools (Government),94248,80000,111000,Unknown,Government,Government & Public Administration,National Services & Agencies,Unknown / Non-Applicable,3.7,71.0,5.0,3.5,3.1,3.3,3.2,3.5,Victoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Business Analyst,Melbourne,Link Group,81289,69000,96000,1001 to 5000 Employees,Company - Public,Management & Consulting,Research & Development,$500 million to $1 billion (USD),3.2,59.0,84.0,3.1,2.8,3.2,3.0,3.3,Victoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elementary School Teacher,Melbourne,Schools (Government),68031,64000,73000,Unknown,Government,Government & Public Administration,National Services & Agencies,Unknown / Non-Applicable,3.7,71.0,5.0,3.5,3.1,3.3,3.2,3.5,Victoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reporting Analyst,Melbourne,Museum Victoria,76648,73000,81000,Unknown,Non-profit Organisation,"Arts, Entertainment & Recreation",Culture & Entertainment,Unknown / Non-Applicable,4.2,80.0,0.0,3.5,3.7,4.1,3.3,4.3,Victoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
