Model,Release Date,Release Year,Model ID,Company_ID,Model,Release Date,Company,RAM Capacity (Mb),Storage (Mb),CPU Clock (MHz),Display Diagonal (in),Display Width(px),Display Length(px),PixArea(px2),Width (mm),Length (mm),Area(mm2),Depth (mm),Volume (cubic cm),Mass (grams),Pixel Density (per inch)
1und1 SmartPad,1/07/2010,2011,1955,141,1und1 SmartPad,40360,1und1,0.124973296,0.016777517,0.249657844,0.381294964,0.284552846,0.222222222,0.063233966,0.518690314,0.331967213,0.172188178,0.101988454,0.11095647,0.087284483,0.22387683
3Com Palm III,1/03/1998,1998,58,NA,NA,NA,3Com ,0.000946074,3.17E-05,0.007547442,0.115107914,0.024390244,0.063492063,0.001548587,0.203274216,0.286885246,0.058316373,0.076330981,0.027707,0.021551724,0.058556285
3Com Palm IIIx,1/02/1999,1999,93,NA,NA,NA,3Com ,0.001922666,3.17E-05,0.007547442,0.115107914,0.024390244,0.063492063,0.001548587,0.203274216,0.286885246,0.058316373,0.076330981,0.027707,0.023706897,0.058556285
3Com Palm V,1/02/1999,1999,94,NA,NA,NA,3Com ,0.000946074,3.17E-05,0.007547442,0.107913669,0.024390244,0.063492063,0.001548587,0.200545703,0.270491803,0.054245969,0.025016036,0.0102563,0.011853448,0.0681474
3Com Palm VII,1/05/1999,1999,104,NA,NA,NA,3Com ,0.000946074,3.17E-05,0.007547442,0.115107914,0.024390244,0.063492063,0.001548587,0.203274216,0.344262295,0.069979648,0.076330981,0.032075027,0.029741379,0.058556285
3Com Palm IIIe,1/07/1999,2000,113,NA,NA,NA,3Com ,0.000946074,3.17E-05,0.007547442,0.115107914,0.024390244,0.063492063,0.001548587,0.203274216,0.286885246,0.058316373,0.076330981,0.027707,0.023706897,0.058556285
3Com Palm Vx,1/10/1999,2000,121,NA,NA,NA,3Com ,0.003875851,3.17E-05,0.009548354,0.107913669,0.024390244,0.063492063,0.001548587,0.200545703,0.270491803,0.054245969,0.025016036,0.0102563,0.011637931,0.0681474
Abocom X-Pilot II,1/01/2004,2004,366,2,Abocom X-Pilot II,37987,Abocom,0.062471389,0.000523305,0.199635034,0.625899281,0.284552846,0.281746032,0.080171635,0.623465211,1,0.623465211,0.1533034,0.301843565,0.221982759,0.129732458
Abocom X-Pilot,1/06/2001,2001,176,NA,NA,NA,Abocom ,0.062471389,0.000523305,0.102590781,0.625899281,0.284552846,0.281746032,0.080171635,0.746248295,0.766393443,0.5719198,0.101988454,0.432862985,0.331896552,0.129732458
Acer n20,1/04/2003,2003,280,3,Acer n20,37712,Acer,0.031220435,0.000523305,0.199635034,0.151079137,0.056910569,0.142857143,0.008130081,0.19781719,0.327868852,0.064858095,0.043617704,0.018714001,0.025862069,0.152195861
Acer n20w,1/04/2003,2003,281,3,Acer n20w,37712,Acer,0.031220435,0.000523305,0.199635034,0.151079137,0.056910569,0.142857143,0.008130081,0.19781719,0.327868852,0.064858095,0.08659397,0.033316918,0.037715517,0.152195861
Acer n10,1/11/2003,2004,342,3,Acer n10,37926,Acer,0.031220435,0.000523305,0.149612223,0.129496403,0.056910569,0.142857143,0.008130081,0.195088677,0.331967213,0.064763044,0.069275176,0.02725735,0.02262931,0.17617365
Acer n30,1/05/2004,2004,395,3,Acer n30,38108,Acer,0.031220435,0.000523305,0.132604468,0.129496403,0.056910569,0.142857143,0.008130081,0.175989086,0.284836066,0.050128039,0.046824888,0.014688564,0.015086207,0.17617365
Acer n35,1/12/2004,2005,478,3,Acer n35,38322,Acer,0.031220435,0.000523305,0.132604468,0.129496403,0.056910569,0.142857143,0.008130081,0.178717599,0.290983607,0.052003892,0.089159718,0.027557116,0.02262931,0.17617365
Acer n50,1/12/2004,2005,479,3,Acer n50,38322,Acer,0.062471389,0.001047635,0.259662406,0.129496403,0.056910569,0.142857143,0.008130081,0.173260573,0.290983607,0.050415986,0.07248236,0.021861551,0.019396552,0.17617365
Acer n300,1/12/2005,2006,649,3,Acer n300,38687,Acer,0.031220435,0.001047635,0.149612223,0.143884892,0.154471545,0.301587302,0.046586656,0.173260573,0.25,0.043315143,0.048749198,0.013146907,0.016163793,0.433619384
Acer n311,1/12/2005,2006,650,3,Acer n311,38687,Acer,0.031220435,0.002096294,0.199635034,0.143884892,0.154471545,0.301587302,0.046586656,0.173260573,0.25,0.043315143,0.048749198,0.013146907,0.016163793,0.433619384
Acer c530,1/12/2006,2007,889,3,Acer c530,39052,Acer,0.031220435,0.002096294,0.149612223,0.079136691,0.056910569,0.142857143,0.008130081,0.140518417,0.241803279,0.033977814,0.06863374,0.013082671,0.013362069,0.244068652
Acer d155 / d156,1/12/2006,2007,890,3,Acer d155 / d156,39052,Acer,0.031220435,0.000523305,0.132604468,0.129496403,0.089430894,0.103174603,0.009226997,0.29058663,0.199180328,0.05787914,0.281590763,0.108622572,0.051724138,0.17617365
Acer Tempo X960,1/04/2009,2009,1568,3,Acer Tempo X960,39904,Acer,0.062471389,0.004193611,0.266165371,0.079136691,0.154471545,0.301587302,0.046586656,0.272578445,0.040983607,0.011171248,0.048749198,0.008971586,0.015409483,0.610297829
Acer M900 / Tempo  M900,1/05/2009,2009,1584,3,Acer M900 / Tempo  M900,39934,Acer,0.062471389,0.004193611,0.266165371,0.151079137,0.154471545,0.380952381,0.058846303,0.151432469,0.286885246,0.043443741,0.07055805,0.017579171,0.027586207,0.50454316
Acer Tempo F900,1/05/2009,2009,1585,3,Acer Tempo F900,39934,Acer,0.062471389,0.004193611,0.266165371,0.151079137,0.154471545,0.380952381,0.058846303,0.155525239,0.280737705,0.043661799,0.043296985,0.011091365,0.019396552,0.50454316
Acer beTouch E100 (Acer C1),1/10/2009,2010,1705,3,Acer beTouch E100 (Acer C1),40087,Acer,0.124973296,0.008388246,0.263664231,0.107913669,0.056910569,0.182539683,0.010388437,0.135061392,0.262295082,0.035425939,0.043296985,0.007965227,0.0125,0.252650177
Acer beTouch E100 B (Acer C1),1/10/2009,2010,1706,3,Acer beTouch E100 B (Acer C1),40087,Acer,0.124973296,0.008388246,0.263664231,0.107913669,0.056910569,0.182539683,0.010388437,0.135061392,0.262295082,0.035425939,0.043296985,0.007965227,0.0125,0.252650177
Acer beTouch E101 (Acer E1),1/10/2009,2010,1707,3,Acer beTouch E101 (Acer E1),40087,Acer,0.124973296,0.008388246,0.263664231,0.107913669,0.056910569,0.182539683,0.010388437,0.135061392,0.262295082,0.035425939,0.043296985,0.007965227,0.0125,0.252650177
Acer beTouch E200 (Acer L1),1/10/2009,2010,1708,3,Acer beTouch E200 (Acer L1),40087,Acer,0.124973296,0.008388246,0.263664231,0.09352518,0.056910569,0.182539683,0.010388437,0.128240109,0.25,0.032060027,0.059653624,0.009956534,0.018534483,0.281423523
Acer beTouch E200 B (Acer L1),1/10/2009,2010,1709,3,Acer beTouch E200 B (Acer L1),40087,Acer,0.124973296,0.008388246,0.263664231,0.09352518,0.056910569,0.182539683,0.010388437,0.128240109,0.25,0.032060027,0.059653624,0.009956534,0.018534483,0.281423523
Acer neoTouch S200 (Acer F1),1/10/2009,2010,1710,3,Acer neoTouch S200 (Acer F1),40087,Acer,0.124973296,0.008388246,0.499771896,0.151079137,0.154471545,0.380952381,0.058846303,0.154160982,0.285245902,0.043973788,0.037844772,0.009763827,0.015086207,0.510853104
Acer neoTouch S200 B (Acer F1),1/11/2009,2010,1743,3,Acer neoTouch S200 B (Acer F1),40118,Acer,0.124973296,0.008388246,0.499771896,0.151079137,0.154471545,0.380952381,0.058846303,0.154160982,0.285245902,0.043973788,0.037844772,0.009763827,0.015086207,0.510853104
Acer Liquid S100 (Acer A1),1/12/2009,2010,1775,3,Acer Liquid S100 (Acer A1),40148,Acer,0.124973296,0.008388246,0.383718976,0.129496403,0.154471545,0.380952381,0.058846303,0.152796726,0.270491803,0.041330262,0.041051956,0.009785239,0.016163793,0.560070671
Acer beTouch E110,1/03/2010,2010,1832,3,Acer beTouch E110,40238,Acer,0.124973296,0.004193611,0.207638683,0.079136691,0.056910569,0.142857143,0.008130081,0.129604366,0.223360656,0.028948516,0.046824888,0.006594865,0.009698276,0.249116608
Acer neoTouch P300 (Geeksphone One),1/03/2010,2010,1833,3,Acer neoTouch P300 (Geeksphone One),40238,Acer,0.124973296,0.008388246,0.263664231,0.107913669,0.056910569,0.182539683,0.010388437,0.132332879,0.25,0.03308322,0.057729314,0.010127829,0.014008621,0.257193337
Acer beTouch E400,1/04/2010,2010,1861,3,Acer beTouch E400,40269,Acer,0.124973296,0.008388246,0.299680654,0.107913669,0.089430894,0.222222222,0.019873532,0.144065484,0.270491803,0.038968533,0.037844772,0.013082671,0.014008621,0.244068652
Acer Liquid E (Acer A1E),1/04/2010,2010,1862,3,Acer Liquid E (Acer A1E),40269,Acer,0.249977111,0.008388246,0.383718976,0.129496403,0.154471545,0.380952381,0.058846303,0.156889495,0.270491803,0.042437322,0.042655548,0.010641715,0.016163793,0.560070671
Acer beTouch E110 B,1/05/2010,2010,1894,3,Acer beTouch E110 B,40299,Acer,0.124973296,0.004193611,0.207638683,0.079136691,0.056910569,0.142857143,0.008130081,0.129604366,0.223360656,0.028948516,0.046824888,0.006594865,0.009698276,0.249116608
Acer neoTouch P400,1/05/2010,2010,1895,3,Acer neoTouch P400,40299,Acer,0.124973296,0.008388246,0.299680654,0.107913669,0.089430894,0.222222222,0.019873532,0.144065484,0.270491803,0.038968533,0.037844772,0.008072287,0.014008621,0.344522968
Acer neoTouch P400 B,1/06/2010,2010,1919,3,Acer neoTouch P400 B,40330,Acer,0.124973296,0.008388246,0.299680654,0.107913669,0.089430894,0.222222222,0.019873532,0.144065484,0.270491803,0.038968533,0.037844772,0.008072287,0.014008621,0.344522968
Acer beTouch E120 (Acer K2),1/08/2010,2011,1986,3,Acer beTouch E120 (Acer K2),40391,Acer,0.124973296,0.008388246,0.207638683,0.079136691,0.056910569,0.142857143,0.008130081,0.129604366,0.227459016,0.029479682,0.050673509,0.007472753,0.009698276,0.249116608
Acer beTouch E130 (Acer K3),1/08/2010,2011,1987,3,Acer beTouch E130 (Acer K3),40391,Acer,0.124973296,0.008388246,0.207638683,0.064748201,0.089430894,0.103174603,0.009226997,0.152796726,0.270491803,0.041330262,0.034637588,0.00653063,0.010560345,0.249116608
Acer Liquid E Ferrari Special Edition (Acer A1F),1/08/2010,2011,1988,3,Acer Liquid E Ferrari Special Edition (Acer A1F),40391,Acer,0.249977111,0.008388246,0.383718976,0.129496403,0.154471545,0.380952381,0.058846303,0.156889495,0.270491803,0.042437322,0.042655548,0.009721003,0.016163793,0.505805149
Acer Stream / Liquid S110,1/09/2010,2011,2016,3,Acer Stream / Liquid S110,40422,Acer,0.249977111,0.008388246,0.499771896,0.143884892,0.154471545,0.380952381,0.058846303,0.154160982,0.288934426,0.044542415,0.032713278,0.014581504,0.014224138,0.600201918
Acer beTouch E120 B (Acer K2),1/10/2010,2011,2047,3,Acer beTouch E120 B (Acer K2),40452,Acer,0.124973296,0.008388246,0.207638683,0.079136691,0.056910569,0.142857143,0.008130081,0.129604366,0.227459016,0.029479682,0.050673509,0.007472753,0.009698276,0.249116608
Acer Liquid Metal S120 / Liquid mt,1/11/2010,2011,2078,3,Acer Liquid Metal S120 / Liquid mt,40483,Acer,0.249977111,0.008388246,0.399726275,0.136690647,0.154471545,0.380952381,0.058846303,0.154160982,0.270491803,0.041699282,0.060295061,0.014602916,0.016163793,0.540131247
Acer beTouch E140,1/12/2010,2011,2127,3,Acer beTouch E140,40513,Acer,0.124973296,0.008388246,0.299680654,0.079136691,0.056910569,0.142857143,0.008130081,0.134515689,0.227459016,0.030596806,0.042976267,0.00653063,0.011853448,0.249116608
Acer beTouch E210,1/03/2011,2011,2184,3,Acer beTouch E210,40603,Acer,0.124973296,0.008388246,0.299680654,0.064748201,0.089430894,0.103174603,0.009226997,0.152796726,0.274590164,0.041956478,0.057087877,0.008072287,0.010775862,0.344522968
Acer liquidmini E310 B,1/04/2011,2011,2207,3,Acer liquidmini E310 B,40634,Acer,0.249977111,0.008388246,0.299680654,0.107913669,0.089430894,0.222222222,0.019873532,0.139154161,0.25,0.03478854,0.04425914,0.008157934,0.009698276,0.344522968
Acer Iconia Smart S300,1/05/2011,2011,2232,3,Acer Iconia Smart S300,40664,Acer,0.249977111,0.008388246,0.499771896,0.223021583,0.154471545,0.492063492,0.076009808,0.158253752,0.381147541,0.060318028,0.048107761,0.01723658,0.026939655,0.482332155
Acer Iconia Tab A500 16GB,1/06/2011,2011,2271,3,Acer Iconia Tab A500 16GB,40695,Acer,0.499984741,0.249999232,0.499771896,0.604316547,0.479674797,0.380952381,0.182733256,0.691678035,0.524590164,0.362847494,0.046183451,0.121619596,0.137931034,0.264512872
Acer Iconia Tab A100 16GB,1/08/2011,2012,2330,3,Acer Iconia Tab A100 16GB,40756,Acer,0.499984741,0.249999232,0.499771896,0.381294964,0.375609756,0.281746032,0.105826558,0.301773533,0.598360656,0.180569409,0.045542014,0.055092821,0.088362069,0.315497224
Acer Iconia Tab A100 8GB,1/08/2011,2012,2331,3,Acer Iconia Tab A100 8GB,40756,Acer,0.499984741,0.125838031,0.499771896,0.381294964,0.375609756,0.281746032,0.105826558,0.514324693,0.279098361,0.143547179,0.045542014,0.050146672,0.088362069,0.315497224
Acer Liquid Express E320 (Acer C6),1/11/2011,2012,2464,3,Acer Liquid Express E320 (Acer C6),40848,Acer,0.249977111,0.008388246,0.399726275,0.129496403,0.089430894,0.222222222,0.019873532,0.148158254,0.270491803,0.040075593,0.046824888,0.010620303,0.016810345,0.30338213
Acer Allegro M310 (Acer W4),1/12/2011,2012,2510,3,Acer Allegro M310 (Acer W4),40878,Acer,0.249977111,0.125838031,0.499771896,0.136690647,0.154471545,0.380952381,0.058846303,0.14324693,0.274590164,0.039334198,0.04425914,0.009613943,0.014224138,0.545179202
Acer Iconia Tab A200 8GB,1/01/2012,2012,2558,3,Acer Iconia Tab A200 8GB,40909,Acer,0.499984741,0.125838031,0.499771896,0.604316547,0.479674797,0.380952381,0.182733256,0.691678035,0.516393443,0.357178002,0.04041052,0.111363296,0.148706897,0.266027259
Acer Iconia Tab A510,1/04/2012,2012,2649,3,Acer Iconia Tab A510,41000,Acer,0.499984741,0.499999488,0.649840327,0.604316547,0.479674797,0.380952381,0.182733256,0.688949523,0.517622951,0.356616085,0.031109686,0.097017322,0.132543103,0.264512872
