work_year,experience_level,employment_type,job_title,employee_residence,remote_ratio,company_location,company_size,over average salary
2022,SE,FT,Data Engineer,US,100,US,L,1
2022,SE,FT,Data Engineer,GB,0,GB,M,0
2022,SE,FT,Data Analyst,US,100,US,M,1
2022,SE,FT,Data Science Engineer,AR,100,MX,L,0
2022,EN,FT,Computer Vision Engineer,US,0,US,M,1
2022,MI,FT,Data Scientist,US,100,US,L,1
2022,SE,FT,Data Analyst,US,100,US,M,0
2022,SE,FT,Machine Learning Engineer,US,0,US,M,1
2021,SE,FT,Big Data Architect,CA,50,CA,M,0
2022,EN,FT,Computer Vision Software Engineer,AU,100,AU,S,1
2022,SE,FT,Data Analyst,US,100,US,M,0
2022,SE,FT,Data Analyst,US,100,US,M,0
2021,MI,FT,Data Scientist,US,50,US,L,0
2020,MI,FT,Machine Learning Engineer,CN,0,CN,M,0
2022,MI,FT,Data Scientist,RU,100,US,S,0
2021,SE,FT,Computer Vision Engineer,BR,0,BR,M,0
2022,SE,FT,Data Analyst,US,0,US,M,1
2022,MI,FT,Data Engineer,US,100,US,M,1
2022,SE,FT,Data Analyst,CA,100,CA,M,1
2021,MI,FT,Data Science Engineer,GR,100,GR,M,0
2022,MI,FT,Machine Learning Engineer,US,100,US,S,1
2021,MI,FT,Data Engineer,TR,100,TR,M,0
2021,EN,FT,Data Engineer,US,100,US,L,0
2022,SE,FT,Data Scientist,US,100,US,M,1
2021,MI,FT,Data Engineer,US,0,US,M,0
2021,MI,FT,Data Analyst,GB,50,GB,L,0
2022,MI,FT,Data Analyst,US,100,US,M,0
2021,MI,FT,Data Scientist,DE,50,AT,M,0
2022,SE,FT,Data Scientist,US,100,US,M,1
2022,MI,FT,Data Scientist,GB,0,GB,M,1
2022,SE,FT,Data Scientist,US,0,US,L,1
2021,EN,FT,Data Analyst,FR,50,FR,M,0
2022,SE,FT,Machine Learning Engineer,US,100,US,M,1
2022,SE,FT,Lead Machine Learning Engineer,DE,0,DE,M,0
2022,MI,FT,Data Analyst,ES,100,ES,M,0
2021,MI,FT,Data Engineer,MT,50,MT,L,0
2022,SE,FT,Data Analyst,US,100,US,M,1
2021,MI,FT,Data Analyst,US,100,US,M,0
2021,EN,FT,Machine Learning Scientist,US,100,US,L,1
2022,MI,FT,Data Engineer,ES,100,ES,M,0
2021,MI,FT,Data Scientist,GB,50,GB,L,0
2022,SE,FT,Data Engineer,US,100,US,M,1
2022,EN,FT,Research Scientist,US,100,US,L,1
2022,SE,FT,Machine Learning Engineer,US,100,US,M,1
2020,MI,FT,Product Data Analyst,IN,100,IN,L,0
2020,MI,FT,Data Analyst,US,100,US,L,0
2022,MI,FT,Machine Learning Engineer,GB,0,GB,M,1
2021,MI,FL,Machine Learning Scientist,PK,50,PK,M,0
2022,EN,FT,Machine Learning Engineer,GB,100,GB,L,0
2022,SE,FT,Data Analyst,US,100,US,M,0
2021,EN,FT,Computer Vision Software Engineer,US,100,US,M,0
2022,SE,FT,Data Analyst,US,100,US,M,0
2021,MI,FT,Lead Data Analyst,IN,100,IN,L,0
2022,MI,FT,Data Scientist,GB,0,GB,M,0
2021,EN,FT,Data Scientist,IN,50,IN,L,0
2020,EN,FT,Big Data Engineer,US,100,US,L,0
2021,MI,FT,Data Scientist,US,50,US,L,1
2022,SE,FT,Data Scientist,US,100,US,M,1
2021,MI,FT,Data Scientist,ES,100,ES,L,0
2022,EX,FT,Data Engineer,US,100,US,M,1
2022,MI,FT,Data Analyst,CA,0,CA,M,0
2021,SE,FT,Data Engineering Manager,US,100,US,L,1
2022,EN,FT,Data Scientist,IN,100,IN,M,0
2021,EN,FT,Machine Learning Engineer,IN,100,IN,S,0
2021,SE,FT,Data Specialist,US,100,US,L,1
2020,EX,FT,Director of Data Science,US,100,US,L,1
2021,SE,FT,Director of Data Science,JP,0,JP,S,1
2021,MI,FT,Research Scientist,CA,100,CA,L,1
2020,MI,FT,Data Scientist,IN,0,IN,L,0
2022,MI,FT,Data Engineer,GB,0,GB,M,0
2021,MI,FT,Big Data Engineer,IN,0,IN,L,0
2021,EN,FT,Data Scientist,US,100,US,S,0
2021,SE,FT,Principal Data Engineer,US,100,US,M,1
2022,SE,FT,Data Analyst,US,100,US,M,0
2022,SE,FT,Data Analytics Manager,US,100,US,M,0
2022,SE,FT,Data Scientist,US,100,US,M,1
2022,SE,FT,Data Engineer,US,0,US,M,0
2022,SE,FT,Data Analyst,US,0,US,M,0
2022,SE,FT,Data Analyst,US,100,US,M,0
2022,EN,FT,Data Scientist,JP,100,MY,L,0
2022,SE,FT,Data Analytics Lead,US,100,US,L,1
2022,SE,FT,Data Engineer,US,100,US,M,1
2022,MI,FT,NLP Engineer,US,50,US,L,0
2022,SE,FT,Data Engineer,US,0,US,L,1
2022,SE,FT,Data Architect,CA,100,CA,M,0
2022,MI,PT,Data Engineer,DE,50,DE,L,0
2022,SE,FT,Data Architect,US,100,US,M,1
2022,EX,FT,Data Engineer,US,100,US,M,1
2021,SE,FT,Data Engineer,US,100,US,L,1
2022,MI,FT,ETL Developer,GR,0,GR,M,0
2020,SE,FT,Principal Data Scientist,DE,100,DE,M,1
2020,EN,FT,Data Scientist,US,100,US,S,0
2020,EX,FT,Data Engineering Manager,ES,50,ES,L,0
2021,MI,FT,Data Engineer,PL,100,PL,L,0
2022,MI,FT,Data Engineer,GR,100,GR,M,0
2021,EN,FT,Data Scientist,US,0,US,S,0
2021,EN,FT,BI Data Analyst,KE,100,KE,S,0
2022,SE,FT,Data Analyst,US,100,US,M,1
2021,EN,PT,Computer Vision Engineer,DK,50,DK,S,0
2022,SE,FT,Head of Data,MY,100,US,M,1
