nm,1,2,3
427.1000061,13,19,15
430.7000122,14,19,15
434.2999878,14,19,15
437.8999939,14,19,14
441.5,15,20,16
445,16,21,17
448.6000061,16,21,17
452.2000122,16,21,17
455.7999878,16,21,17
459.3999939,16,21,17
463,16,21,17
466.6000061,16,21,17
470.1000061,16,21,17
473.7000122,16,21,17
477.2999878,16,21,17
480.8999939,16,21,17
484.5,16,21,17
488.1000061,16,21,17
491.6000061,16,21,17
495.2000122,16,21,17
498.7999878,16,21,17
502.3999939,16,21,17
506,16,21,17
509.6000061,16,21,17
513.0999756,16,21,17
516.7000122,16,20,17
520.2999878,15,20,16
523.9000244,15,20,16
527.5,15,20,16
531.0999756,15,19,16
534.7000122,15,19,16
538.2000122,15,18,15
541.7999878,15,18,15
545.4000244,15,18,15
549,15,18,15
552.5999756,14,18,15
556.2000122,14,18,14
559.7000122,14,18,14
563.2999878,14,17,14
566.9000244,14,17,14
570.5,14,17,14
574.0999756,13,17,14
577.7000122,13,17,14
581.2999878,13,17,14
584.7999878,13,16,14
588.4000244,13,16,14
592,13,16,14
595.5999756,13,16,14
599.2000122,13,16,13
602.7999878,13,16,13
606.2999878,13,16,13
609.9000244,12,16,13
613.5,12,16,13
617.0999756,12,16,13
620.7000122,12,16,14
624.2999878,12,16,14
627.9000244,12,16,14
631.4000244,12,16,15
635,12,16,15
638.5999756,12,17,16
642.2000122,12,17,16
645.7999878,12,17,17
649.4000244,12,18,17
652.9000244,12,18,17
656.5,12,19,18
660.0999756,12,19,18
663.7000122,12,19,18
667.2999878,12,19,18
670.9000244,12,20,17
674.4000244,12,20,17
678,12,20,17
681.5999756,12,20,16
685.2000122,12,20,16
688.7999878,12,20,16
692.4000244,12,20,16
696,12,19,16
699.5,11,19,16
703.0999756,11,19,16
706.7000122,12,19,17
710.2999878,12,19,17
713.9000244,12,19,18
717.5,11,19,18
721,11,19,19
724.5999756,11,19,19
728.2000122,11,19,20
731.7999878,11,19,20
735.4000244,12,19,21
739,11,18,22
742.5999756,11,18,23
746.0999756,11,18,24
749.7000122,11,18,26
753.2999878,11,18,27
756.9000244,11,18,29
760.5,11,18,30
764.0999756,11,18,31
767.5999756,11,18,33
771.2000122,11,18,34
774.7999878,11,18,35
778.4000244,11,18,36
782,11,17,37
785.5999756,11,17,38
789.2000122,11,17,39
792.7000122,11,17,40
796.2999878,11,17,41
799.9000244,11,17,42
803.5,11,17,43
807.0999756,11,17,43
810.7000122,11,17,44
814.2000122,11,17,44
817.7999878,11,17,44
821.4000244,11,17,45
825,11,17,45
828.5999756,11,17,46
832.2000122,11,16,46
835.7000122,11,16,46
839.2999878,11,16,47
842.9000244,11,17,48
846.5,11,17,48
850.0999756,11,17,48
853.7000122,11,17,48
857.2999878,11,17,48
860.7999878,11,16,48
864.4000244,11,16,48
868,11,16,48
871.5999756,11,16,48
875.2000122,11,16,48
878.7999878,11,16,48
882.2999878,11,16,48
885.9000244,10,16,48
889.5,10,16,48
893.0999756,10,16,48
